id,source,region,management,construction_year,status_group
24012,spring,Iringa,vwc,2007,functional
69107,shallow well,Mbeya,vwc,0,needs repair
64062,shallow well,Lindi,vwc,2006,needs repair
44002,shallow well,Kagera,vwc,0,functional
37471,rainwater harvesting,Kagera,vwc,0,functional
49585,river,Mbeya,water authority,0,needs repair
60852,river,Morogoro,vwc,2004,functional
64130,shallow well,Tabora,vwc,0,needs repair
17687,machine dbh,Morogoro,vwc,1974,functional
38876,machine dbh,Morogoro,vwc,1972,needs repair
28669,machine dbh,Dar es Salaam,private operator,0,functional
73769,spring,Kagera,vwc,0,needs repair
66521,hand dtw,Iringa,vwc,2010,functional
53167,machine dbh,Lindi,vwc,1987,needs repair
24232,river,Mbeya,water board,0,functional
65788,spring,Mara,vwc,2008,functional
72981,river,Mbeya,wua,0,functional
60983,machine dbh,Dar es Salaam,vwc,1970,needs repair
37768,shallow well,Mara,wug,1996,needs repair
64880,spring,Kigoma,vwc,1996,functional
32871,machine dbh,Ruvuma,vwc,2009,needs repair
45564,river,Mbeya,wug,0,functional
23519,shallow well,Shinyanga,wug,0,needs repair
50173,shallow well,Shinyanga,wug,0,functional
66843,machine dbh,Lindi,vwc,2010,functional
13815,hand dtw,Iringa,vwc,2009,functional
36591,machine dbh,Rukwa,vwc,1986,needs repair
71845,river,Iringa,wua,1978,functional
42180,river,Kigoma,water board,1977,functional
63632,machine dbh,Mwanza,vwc,0,functional
55594,machine dbh,Singida,vwc,2009,functional
11787,machine dbh,Tabora,private operator,0,functional
48528,shallow well,Kigoma,vwc,2010,needs repair
72678,rainwater harvesting,Shinyanga,parastatal,0,functional
50970,spring,Mtwara,vwc,2004,functional
37840,river,Ruvuma,vwc,1983,functional
44258,river,Rukwa,vwc,1972,needs repair
10715,river,Pwani,private operator,2010,functional
12120,shallow well,Morogoro,vwc,1997,functional
67980,shallow well,Morogoro,vwc,1997,needs repair
41635,river,Rukwa,vwc,1972,functional
14884,shallow well,Manyara,vwc,2012,functional
56725,shallow well,Shinyanga,wug,0,needs repair
33037,shallow well,Mbeya,vwc,0,functional
22190,spring,Tanga,vwc,2008,needs repair
47459,spring,Iringa,vwc,1984,functional
68908,machine dbh,Pwani,vwc,0,functional
62670,spring,Arusha,wug,2006,functional
60866,machine dbh,Rukwa,vwc,1986,needs repair
2136,shallow well,Pwani,vwc,0,functional
33320,machine dbh,Iringa,vwc,2009,functional
58126,shallow well,Mbeya,vwc,0,needs repair
45604,shallow well,Kagera,vwc,0,functional
67428,river,Mbeya,wug,0,needs repair
52318,river,Mbeya,wua,0,functional
33347,machine dbh,Singida,vwc,2010,needs repair
36684,shallow well,Iringa,vwc,2000,functional
41034,shallow well,Iringa,vwc,0,functional
112,river,Pwani,wua,2010,needs repair
4807,river,Iringa,wua,1987,functional
41845,machine dbh,Mtwara,vwc,2011,functional
6065,spring,Kilimanjaro,vwc,1978,functional
37187,spring,Kilimanjaro,company,1962,needs repair
26540,lake,Mara,parastatal,1978,needs repair
8879,rainwater harvesting,Shinyanga,parastatal,0,needs repair
30377,spring,Kagera,vwc,0,functional
20203,shallow well,Singida,vwc,1990,needs repair
8060,hand dtw,Iringa,vwc,2010,functional
59630,hand dtw,Iringa,vwc,2009,functional
10068,spring,Kagera,vwc,0,needs repair
34609,spring,Kagera,vwc,0,needs repair
26701,spring,Mbeya,vwc,0,functional
46897,rainwater harvesting,Arusha,wug,2012,functional
34636,dam,Pwani,vwc,1982,needs repair
52520,river,Arusha,vwc,2009,functional
75,river,Iringa,wua,1978,needs repair
31626,spring,Mbeya,vwc,0,needs repair
3181,machine dbh,Rukwa,water authority,1985,needs repair
43098,river,Mbeya,vwc,0,needs repair
37008,spring,Kilimanjaro,water board,2011,needs repair
34853,spring,Mbeya,vwc,0,needs repair
48752,spring,Kilimanjaro,water authority,1976,needs repair
31132,shallow well,Shinyanga,wug,0,functional
37562,spring,Arusha,vwc,2000,functional
28740,shallow well,Mbeya,vwc,0,needs repair
30257,rainwater harvesting,Singida,vwc,2010,functional
53212,spring,Kilimanjaro,vwc,2002,needs repair
40729,river,Arusha,vwc,2002,needs repair
48695,river,Kigoma,private operator,2005,functional
35140,river,Pwani,vwc,1988,needs repair
46814,rainwater harvesting,Mara,parastatal,2009,functional
7721,shallow well,Morogoro,vwc,1996,functional
63695,machine dbh,Singida,unknown,2005,functional
7171,rainwater harvesting,Shinyanga,parastatal,0,functional
58838,machine dbh,Mwanza,vwc,0,functional
61046,shallow well,Tanga,vwc,1999,functional
68347,lake,Mwanza,vwc,1982,needs repair
14746,machine dbh,Singida,vwc,2000,needs repair
14952,spring,Mtwara,vwc,2006,needs repair
64334,spring,Manyara,vwc,2008,needs repair
72374,river,Mbeya,wug,0,needs repair
33169,shallow well,Tabora,vwc,0,needs repair
4907,river,Morogoro,vwc,2005,needs repair
49994,spring,Mbeya,vwc,0,needs repair
59588,shallow well,Tanga,vwc,0,needs repair
46893,machine dbh,Morogoro,vwc,2006,needs repair
16944,shallow well,Kagera,vwc,0,needs repair
35828,machine dbh,Dodoma,private operator,0,needs repair
24377,shallow well,Tanga,vwc,2009,needs repair
51694,spring,Iringa,vwc,1989,functional
70241,rainwater harvesting,Kagera,vwc,0,needs repair
1780,spring,Iringa,vwc,1991,functional
39490,spring,Tanga,vwc,2004,functional
21704,spring,Kilimanjaro,water board,2008,functional
35193,shallow well,Pwani,vwc,2007,needs repair
24948,river,Iringa,wua,2009,functional
6076,machine dbh,Mtwara,vwc,1975,functional
18451,spring,Kilimanjaro,wua,1960,needs repair
13042,shallow well,Mwanza,vwc,0,needs repair
34877,spring,Iringa,vwc,2003,functional
10891,shallow well,Shinyanga,wug,0,needs repair
33500,machine dbh,Mwanza,vwc,0,needs repair
1012,shallow well,Mtwara,vwc,1986,needs repair
4321,spring,Iringa,vwc,1984,functional
41162,machine dbh,Rukwa,vwc,1987,needs repair
31957,shallow well,Kagera,vwc,0,needs repair
15815,machine dbh,Singida,vwc,1974,needs repair
47462,machine dbh,Dodoma,vwc,0,needs repair
28110,shallow well,Shinyanga,wug,0,needs repair
52448,spring,Dodoma,vwc,0,functional
18832,spring,Arusha,wua,2011,needs repair
62720,spring,Kigoma,water board,2008,needs repair
14326,machine dbh,Kilimanjaro,private operator,2011,functional
36933,river,Mbeya,wug,0,functional
65093,machine dbh,Mtwara,vwc,1974,functional
50139,spring,Mbeya,vwc,0,needs repair
36455,shallow well,Tabora,vwc,0,needs repair
49732,machine dbh,Mbeya,vwc,0,functional
20200,shallow well,Shinyanga,wug,0,functional
43777,river,Kigoma,vwc,1988,functional
42497,spring,Ruvuma,vwc,1990,needs repair
52601,river,Morogoro,wug,1995,functional
65530,other,Tanga,vwc,1961,needs repair
73024,spring,Kilimanjaro,vwc,1972,functional
18842,river,Rukwa,vwc,1984,needs repair
9474,river,Kigoma,water board,1982,functional
44434,rainwater harvesting,Kigoma,vwc,2010,functional
36366,river,Shinyanga,vwc,0,functional
47236,spring,Arusha,vwc,2002,needs repair
8633,river,Kigoma,vwc,1997,needs repair
71487,shallow well,Mwanza,vwc,0,functional
46268,spring,Kilimanjaro,vwc,1976,needs repair
36093,shallow well,Shinyanga,wug,0,functional
2591,machine dbh,Rukwa,vwc,1991,functional
69669,machine dbh,Kigoma,vwc,2008,needs repair
67377,river,Morogoro,vwc,1970,needs repair
51185,shallow well,Singida,vwc,1998,needs repair
24049,spring,Arusha,wug,2009,functional
70835,river,Arusha,vwc,1992,functional
74176,spring,Kilimanjaro,vwc,1963,functional
68037,machine dbh,Dodoma,vwc,0,functional
10992,machine dbh,Mtwara,vwc,1982,needs repair
45886,shallow well,Mwanza,vwc,1999,needs repair
64793,shallow well,Mbeya,vwc,0,needs repair
40808,shallow well,Mtwara,vwc,1978,needs repair
62565,spring,Kagera,vwc,0,functional
70379,machine dbh,Mwanza,vwc,0,functional
10089,shallow well,Shinyanga,wug,0,functional
37364,spring,Mbeya,water authority,0,needs repair
43345,machine dbh,Tabora,vwc,0,functional
39310,shallow well,Kagera,vwc,0,needs repair
59713,machine dbh,Mwanza,vwc,0,functional
28945,river,Mbeya,vwc,0,needs repair
5074,river,Manyara,vwc,2010,needs repair
54009,shallow well,Pwani,vwc,0,needs repair
35563,river,Ruvuma,parastatal,2010,needs repair
17668,river,Mbeya,wug,0,needs repair
30390,spring,Mbeya,vwc,0,needs repair
1298,shallow well,Kagera,vwc,0,needs repair
2993,machine dbh,Pwani,private operator,1997,needs repair
63712,machine dbh,Kigoma,vwc,1990,needs repair
61979,machine dbh,Rukwa,vwc,1984,functional
39704,shallow well,Mtwara,vwc,1971,needs repair
29191,spring,Tanga,vwc,1999,needs repair
35649,river,Mbeya,vwc,0,needs repair
15840,shallow well,Mtwara,vwc,0,needs repair
45415,shallow well,Shinyanga,wug,0,needs repair
8055,rainwater harvesting,Dodoma,other,0,functional
51403,other,Mwanza,wug,0,needs repair
33963,spring,Lindi,vwc,0,functional
21669,spring,Rukwa,vwc,1974,needs repair
7900,machine dbh,Mwanza,vwc,0,functional
337,river,Kigoma,vwc,2009,functional
17861,spring,Ruvuma,vwc,2008,functional
13195,machine dbh,Dodoma,vwc,0,needs repair
54722,machine dbh,Lindi,vwc,1978,needs repair
2845,river,Iringa,wua,1994,functional
17111,shallow well,Mbeya,vwc,0,functional
21338,shallow well,Shinyanga,wug,0,functional
49326,shallow well,Shinyanga,wug,0,functional
15358,machine dbh,Ruvuma,vwc,1998,functional
33040,machine dbh,Dodoma,vwc,0,needs repair
40592,spring,Iringa,vwc,2000,needs repair
29513,shallow well,Morogoro,vwc,1984,functional
51163,machine dbh,Rukwa,vwc,2008,functional
40920,rainwater harvesting,Tabora,unknown,0,functional
65101,spring,Morogoro,wug,1995,functional
21127,spring,Dodoma,vwc,0,needs repair
67822,spring,Arusha,vwc,1999,functional
14135,spring,Manyara,vwc,2005,functional
10458,spring,Kilimanjaro,vwc,1972,needs repair
32089,shallow well,Shinyanga,wug,0,functional
8230,rainwater harvesting,Arusha,wua,2008,needs repair
43433,spring,Ruvuma,vwc,1992,functional
62188,shallow well,Morogoro,vwc,2002,functional
19,machine dbh,Mtwara,vwc,2012,functional
26577,machine dbh,Manyara,water authority,2000,functional
68887,machine dbh,Mbeya,water board,0,needs repair
9382,spring,Kigoma,vwc,1976,functional
65238,machine dbh,Singida,unknown,2010,needs repair
17897,river,Mbeya,vwc,0,needs repair
29744,spring,Arusha,vwc,1970,needs repair
23987,spring,Kagera,vwc,0,needs repair
26655,river,Mbeya,wug,0,needs repair
17978,river,Arusha,vwc,2008,functional
51558,spring,Dodoma,vwc,0,needs repair
48007,hand dtw,Manyara,vwc,2008,needs repair
25534,spring,Iringa,vwc,2008,functional
13969,machine dbh,Tabora,vwc,0,functional
39548,river,Kigoma,water board,1988,needs repair
25143,river,Morogoro,vwc,1995,functional
25736,rainwater harvesting,Arusha,wua,2012,functional
17516,rainwater harvesting,Mara,parastatal,2004,functional
66980,shallow well,Tabora,vwc,0,functional
45444,shallow well,Morogoro,vwc,2004,functional
59310,machine dbh,Mwanza,vwc,0,functional
59102,river,Arusha,vwc,2002,functional
61883,shallow well,Morogoro,vwc,2008,functional
93,shallow well,Ruvuma,vwc,1995,functional
15988,river,Iringa,wua,1978,needs repair
19304,machine dbh,Pwani,vwc,2006,needs repair
44092,machine dbh,Ruvuma,vwc,1999,functional
66242,machine dbh,Dodoma,vwc,0,needs repair
51611,machine dbh,Ruvuma,vwc,2011,needs repair
53847,machine dbh,Dodoma,vwc,0,functional
67634,machine dbh,Kilimanjaro,wua,2009,functional
24757,spring,Kilimanjaro,water board,1972,needs repair
37524,river,Arusha,vwc,2002,functional
16341,shallow well,Shinyanga,wug,2008,functional
39176,river,Morogoro,other,1995,functional
24836,spring,Ruvuma,vwc,1984,functional
73470,shallow well,Mbeya,vwc,0,needs repair
11533,shallow well,Tabora,vwc,0,needs repair
74217,spring,Arusha,vwc,2010,functional
7007,spring,Iringa,vwc,1992,functional
4101,shallow well,Mwanza,vwc,0,functional
17041,machine dbh,Rukwa,vwc,1984,needs repair
38725,spring,Iringa,wua,2009,functional
39749,machine dbh,Dar es Salaam,unknown,2010,needs repair
62642,spring,Kilimanjaro,vwc,0,needs repair
49453,river,Kilimanjaro,vwc,2003,functional
63018,spring,Iringa,vwc,2000,functional
65932,spring,Mtwara,vwc,0,needs repair
56863,shallow well,Ruvuma,wug,1999,needs repair
23835,river,Morogoro,vwc,2004,functional
34870,shallow well,Mtwara,vwc,0,needs repair
39915,spring,Arusha,water board,1968,functional
9736,rainwater harvesting,Mwanza,vwc,2011,functional
70019,spring,Mbeya,vwc,0,needs repair
20984,machine dbh,Mwanza,vwc,0,needs repair
20132,shallow well,Shinyanga,private operator,0,functional
5963,shallow well,Shinyanga,wug,0,functional
3740,spring,Iringa,vwc,1985,functional
26943,shallow well,Morogoro,vwc,1980,needs repair
43742,machine dbh,Ruvuma,vwc,2007,functional
5784,lake,Rukwa,vwc,1974,needs repair
42548,spring,Iringa,vwc,0,needs repair
5121,shallow well,Morogoro,vwc,1982,needs repair
57478,rainwater harvesting,Kagera,vwc,0,functional
58537,spring,Kilimanjaro,water board,1993,needs repair
3627,spring,Iringa,vwc,1992,needs repair
4062,lake,Mwanza,vwc,0,functional
15832,machine dbh,Dar es Salaam,wug,2000,needs repair
34741,spring,Ruvuma,vwc,1992,functional
67097,shallow well,Morogoro,vwc,2009,functional
4437,spring,Kilimanjaro,wua,2001,functional
65817,spring,Kilimanjaro,water board,2003,functional
39559,shallow well,Pwani,vwc,2009,needs repair
54412,river,Mbeya,water board,0,functional
25344,shallow well,Pwani,vwc,1994,needs repair
2301,spring,Kilimanjaro,vwc,1972,needs repair
32844,spring,Arusha,vwc,2000,needs repair
59874,rainwater harvesting,Kagera,vwc,0,needs repair
50233,shallow well,Dar es Salaam,other,2000,needs repair
29639,river,Mbeya,wug,0,functional
65584,river,Kilimanjaro,water board,2007,functional
43808,shallow well,Shinyanga,vwc,0,needs repair
6788,spring,Manyara,vwc,1998,functional
51220,shallow well,Shinyanga,wug,0,functional
16872,spring,Mbeya,vwc,0,needs repair
66383,spring,Kilimanjaro,water authority,1976,needs repair
58599,rainwater harvesting,Arusha,vwc,2000,functional
29383,hand dtw,Shinyanga,parastatal,0,needs repair
36809,rainwater harvesting,Pwani,vwc,2008,needs repair
29753,shallow well,Kagera,vwc,0,functional
72112,shallow well,Lindi,vwc,1986,needs repair
34926,shallow well,Lindi,vwc,1980,needs repair
59898,river,Morogoro,vwc,1998,needs repair
779,spring,Iringa,wua,0,functional
68126,shallow well,Morogoro,vwc,1982,functional
48102,spring,Lindi,vwc,0,needs repair
24794,river,Mbeya,vwc,0,functional
29771,shallow well,Mwanza,vwc,0,functional
29052,river,Kigoma,vwc,1979,functional
4923,spring,Mbeya,parastatal,0,functional
38642,machine dbh,Mtwara,vwc,1982,needs repair
27079,machine dbh,Mbeya,vwc,0,functional
60111,spring,Iringa,wua,2009,functional
12478,rainwater harvesting,Arusha,wua,2006,needs repair
67155,river,Shinyanga,vwc,0,functional
54733,machine dbh,Mtwara,vwc,2001,functional
45654,shallow well,Morogoro,vwc,2000,needs repair
54678,spring,Iringa,wua,2009,functional
1439,machine dbh,Lindi,vwc,2010,functional
16313,shallow well,Shinyanga,wug,0,functional
6735,spring,Kilimanjaro,vwc,2010,functional
3328,dam,Pwani,vwc,1978,needs repair
1220,rainwater harvesting,Kagera,vwc,0,functional
57970,shallow well,Kigoma,vwc,2004,functional
44204,spring,Kilimanjaro,company,1974,functional
63675,river,Arusha,parastatal,2003,functional
40519,machine dbh,Ruvuma,vwc,2003,needs repair
66382,river,Ruvuma,vwc,1994,functional
45386,shallow well,Lindi,vwc,2000,needs repair
43604,shallow well,Tanga,vwc,2004,needs repair
59053,spring,Tanga,vwc,1978,functional
1030,hand dtw,Rukwa,water authority,1988,needs repair
52677,shallow well,Shinyanga,wug,0,functional
1738,shallow well,Morogoro,vwc,2003,functional
19548,shallow well,Kagera,vwc,0,functional
30897,spring,Iringa,vwc,1996,needs repair
27523,machine dbh,Pwani,private operator,2007,functional
815,spring,Arusha,vwc,2011,functional
14910,spring,Kilimanjaro,company,1985,needs repair
11184,machine dbh,Singida,vwc,2000,functional
49071,river,Arusha,vwc,2002,needs repair
22000,machine dbh,Shinyanga,wug,0,functional
60074,river,Kigoma,vwc,1997,needs repair
60374,spring,Arusha,vwc,2000,needs repair
25913,machine dbh,Dodoma,vwc,0,functional
6205,shallow well,Pwani,vwc,2007,needs repair
48390,spring,Arusha,vwc,2000,needs repair
3980,machine dbh,Morogoro,vwc,2006,needs repair
11905,spring,Kilimanjaro,water board,2011,functional
45320,spring,Iringa,vwc,2006,needs repair
31264,machine dbh,Mtwara,vwc,0,functional
16537,shallow well,Shinyanga,wug,0,functional
9096,spring,Kagera,vwc,0,needs repair
33104,shallow well,Ruvuma,wug,1998,functional
11754,shallow well,Shinyanga,wug,0,needs repair
4147,dam,Ruvuma,private operator,2009,needs repair
53577,spring,Kilimanjaro,vwc,1978,needs repair
42476,spring,Iringa,vwc,2000,functional
68995,shallow well,Mtwara,vwc,1980,needs repair
32255,machine dbh,Pwani,vwc,2009,needs repair
8699,river,Iringa,wua,1975,functional
1203,machine dbh,Rukwa,vwc,2010,functional
70666,machine dbh,Shinyanga,wug,0,needs repair
26293,machine dbh,Dar es Salaam,vwc,1980,needs repair
44358,spring,Kilimanjaro,company,2008,needs repair
64687,spring,Kigoma,vwc,1993,needs repair
71489,lake,Mara,vwc,1983,needs repair
61994,spring,Arusha,vwc,1978,functional
42306,hand dtw,Rukwa,vwc,1991,needs repair
67453,spring,Arusha,vwc,2010,functional
11581,machine dbh,Mtwara,vwc,2009,needs repair
14123,river,Kigoma,water board,1975,needs repair
18266,rainwater harvesting,Kagera,vwc,0,functional
59263,river,Arusha,vwc,2009,functional
6387,river,Mbeya,wug,0,functional
28359,machine dbh,Tanga,vwc,1972,needs repair
17571,rainwater harvesting,Singida,vwc,2010,functional
53558,spring,Arusha,unknown,2007,functional
66967,shallow well,Shinyanga,wug,0,functional
72238,spring,Tanga,vwc,1992,functional
12207,spring,Kilimanjaro,water board,1995,functional
68495,shallow well,Mwanza,vwc,0,functional
19283,river,Iringa,vwc,2008,functional
38565,machine dbh,Mtwara,vwc,2009,needs repair
3522,machine dbh,Shinyanga,private operator,0,functional
21927,river,Mbeya,wug,0,needs repair
60029,shallow well,Mtwara,vwc,1976,needs repair
26851,spring,Tanga,vwc,2000,functional
41968,machine dbh,Lindi,vwc,2012,functional
38379,spring,Iringa,vwc,2010,functional
54983,shallow well,Shinyanga,wug,0,functional
68333,shallow well,Morogoro,vwc,1994,functional
65944,river,Pwani,vwc,1987,needs repair
5947,shallow well,Mbeya,vwc,0,functional
42347,shallow well,Morogoro,vwc,1997,functional
67371,machine dbh,Mbeya,vwc,0,needs repair
64048,spring,Manyara,vwc,2011,functional
42733,river,Morogoro,vwc,1982,needs repair
4133,river,Mbeya,wug,0,needs repair
50124,river,Morogoro,vwc,1997,needs repair
69502,spring,Pwani,private operator,2008,needs repair
45876,river,Mbeya,wug,0,functional
52402,river,Mbeya,vwc,0,needs repair
24691,spring,Iringa,vwc,2010,functional
67950,spring,Iringa,vwc,1984,functional
19232,spring,Kilimanjaro,company,1980,needs repair
65266,spring,Manyara,water board,2012,functional
48401,river,Iringa,vwc,1984,needs repair
53972,spring,Ruvuma,wug,2005,needs repair
59369,shallow well,Morogoro,unknown,1984,needs repair
21737,shallow well,Rukwa,vwc,1995,functional
13211,shallow well,Singida,vwc,1980,needs repair
63864,river,Iringa,vwc,1985,functional
30174,spring,Iringa,wua,2009,functional
70930,shallow well,Mtwara,vwc,2010,functional
36823,shallow well,Tabora,vwc,0,needs repair
63746,river,Mbeya,vwc,0,functional
24331,river,Pwani,private operator,2008,functional
41174,hand dtw,Kagera,vwc,0,functional
70070,river,Ruvuma,vwc,2002,needs repair
31332,river,Mbeya,wua,0,functional
11011,shallow well,Pwani,vwc,2005,functional
12245,shallow well,Morogoro,vwc,2004,functional
68493,spring,Kilimanjaro,company,1980,needs repair
5946,spring,Iringa,vwc,2001,needs repair
27334,machine dbh,Dodoma,vwc,0,needs repair
60626,rainwater harvesting,Singida,parastatal,2007,functional
69018,machine dbh,Dar es Salaam,private operator,2010,functional
49196,spring,Mbeya,parastatal,0,functional
26839,river,Ruvuma,vwc,1990,functional
58681,spring,Mtwara,vwc,1998,needs repair
70584,shallow well,Shinyanga,wug,0,functional
6758,shallow well,Shinyanga,wug,0,functional
65476,river,Kigoma,vwc,1985,needs repair
63687,river,Pwani,vwc,1986,needs repair
49678,spring,Ruvuma,vwc,1990,needs repair
57948,shallow well,Pwani,vwc,1995,needs repair
42350,spring,Iringa,vwc,1993,needs repair
4526,machine dbh,Pwani,vwc,1997,needs repair
51133,spring,Tanga,vwc,1978,functional
70054,shallow well,Tabora,vwc,0,needs repair
48080,machine dbh,Singida,vwc,2010,functional
12552,rainwater harvesting,Pwani,private operator,2007,functional
52707,shallow well,Mbeya,vwc,0,functional
68660,machine dbh,Mwanza,vwc,0,needs repair
64257,machine dbh,Kigoma,vwc,2010,needs repair
46719,river,Rukwa,vwc,1975,needs repair
17219,river,Kilimanjaro,vwc,1967,needs repair
29658,machine dbh,Dodoma,private operator,0,functional
14992,spring,Arusha,vwc,2009,needs repair
56386,shallow well,Mwanza,vwc,2002,needs repair
8757,river,Morogoro,wug,2011,functional
13727,shallow well,Mara,private operator,1998,needs repair
